Access Name,URL,imgURL,County,Type,Location,Access Type,Path to Beach,Managed by,Parking,Fee,Bathrooms,Handicap Access,Running Water,Showers,Camp Sites,Stairs to Beach,Boat Ramps,Tidepooling,Surfing,Hiking,Bicycling,Horseback Riding,Road Vehicle Access,Whale Watching
7th Street,?option=com_jumi&view=application&fileid=13&a=11&Itemid=109,/images/learn/access/P001680.gif,Clatsop,7th Street,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
6th Street,?option=com_jumi&view=application&fileid=13&a=12&Itemid=109,/images/learn/access/P001681.gif,Clatsop,6th Street,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
5th Street,?option=com_jumi&view=application&fileid=13&a=13&Itemid=109,/images/learn/access/P002074.gif,Clatsop,5th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3rd Street,?option=com_jumi&view=application&fileid=13&a=14&Itemid=109,/images/learn/access/P002073.gif,Clatsop,3rd Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1st Street,?option=com_jumi&view=application&fileid=13&a=15&Itemid=109,/images/learn/access/P002072.gif,Clatsop,1st Street,Pedestrian Access,beach,unpaved,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pacific Way,?option=com_jumi&view=application&fileid=13&a=16&Itemid=109,/images/learn/access/P002071.gif,Clatsop,Pacific Way,Vehicle Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
D Street & Ocean,?option=com_jumi&view=application&fileid=13&a=17&Itemid=109,/images/learn/access/P002070.gif,Clatsop,D Street & Ocean,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
E Street & Ocean,?option=com_jumi&view=application&fileid=13&a=18&Itemid=109,/images/learn/access/P002069.gif,Clatsop,E Street & Ocean,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
G Street & Ocean,?option=com_jumi&view=application&fileid=13&a=19&Itemid=109,/images/learn/access/P002068.gif,Clatsop,G Street & Ocean,Vehicle Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Wellington Road End on Necanicum,?option=com_jumi&view=application&fileid=13&a=20&Itemid=109,/images/learn/access/P002067.gif,Clatsop,Wellington Road End on Necanicum,Pedestrian Access,beach,unpaved,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nita Avenue,?option=com_jumi&view=application&fileid=13&a=21&Itemid=109,/images/learn/access/P002066.gif,Clatsop,Nita Avenue,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"19th Ave., West. End",?option=com_jumi&view=application&fileid=13&a=22&Itemid=109,/images/learn/access/.gif,Clatsop,"19th Ave., West. End",Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Franklin Street, North.End",?option=com_jumi&view=application&fileid=13&a=23&Itemid=109,/images/learn/access/P001540.gif,Clatsop,"Franklin Street, North.End",Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
18th Ave.,?option=com_jumi&view=application&fileid=13&a=24&Itemid=109,/images/learn/access/P001539.gif,Clatsop,18th Ave.,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
17th Ave.,?option=com_jumi&view=application&fileid=13&a=25&Itemid=109,/images/learn/access/P001538.gif,Clatsop,17th Ave.,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"16th Ave., West End",?option=com_jumi&view=application&fileid=13&a=26&Itemid=109,/images/learn/access/.gif,Clatsop,"16th Ave., West End",Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"15th Ave., West End",?option=com_jumi&view=application&fileid=13&a=27&Itemid=109,/images/learn/access/P001537.gif,Clatsop,"15th Ave., West End",Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
14th Ave.,?option=com_jumi&view=application&fileid=13&a=28&Itemid=109,/images/learn/access/.gif,Clatsop,14th Ave.,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
13th Ave.,?option=com_jumi&view=application&fileid=13&a=29&Itemid=109,/images/learn/access/P001536.gif,Clatsop,13th Ave.,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
12th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=30&Itemid=109,/images/learn/access/P001535.gif,Clatsop,12th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
11th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=31&Itemid=109,/images/learn/access/P001534.gif,Clatsop,11th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
10th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=32&Itemid=109,/images/learn/access/P001533.gif,Clatsop,10th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
9th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=33&Itemid=109,/images/learn/access/P001532.gif,Clatsop,9th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
8th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=34&Itemid=109,/images/learn/access/P001531.gif,Clatsop,8th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
7th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=35&Itemid=109,/images/learn/access/P001530.gif,Clatsop,7th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
6th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=36&Itemid=109,/images/learn/access/P001529.gif,Clatsop,6th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
5th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=37&Itemid=109,/images/learn/access/P001528.gif,Clatsop,5th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4th Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=38&Itemid=109,/images/learn/access/P001527.gif,Clatsop,4th Ave. / Promenade,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
3rd Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=39&Itemid=109,/images/learn/access/P001525.gif,Clatsop,3rd Ave. / Promenade,Pedestrian Access,beach,none,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
2nd Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=40&Itemid=109,/images/learn/access/P001524.gif,Clatsop,2nd Ave. / Promenade,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
1st Ave. / Promenade,?option=com_jumi&view=application&fileid=13&a=41&Itemid=109,/images/learn/access/P001523.gif,Clatsop,1st Ave. / Promenade,Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean Way,?option=com_jumi&view=application&fileid=13&a=42&Itemid=109,/images/learn/access/P001522.gif,Clatsop,Ocean Way,Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Broadway / Turnaround,?option=com_jumi&view=application&fileid=13&a=43&Itemid=109,/images/learn/access/P001521.gif,Clatsop,Broadway / Turnaround,Pedestrian Access,beach,none,City,paved,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Avenue A / South Promenade,?option=com_jumi&view=application&fileid=13&a=44&Itemid=109,/images/learn/access/P001550.gif,Clatsop,Avenue A / South Promenade,Pedestrian Access,beach,paved,City,none,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Avenue E / South Promenade,?option=com_jumi&view=application&fileid=13&a=45&Itemid=109,/images/learn/access/P001549.gif,Clatsop,Avenue E / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Avenue G / South Promenade,?option=com_jumi&view=application&fileid=13&a=46&Itemid=109,/images/learn/access/P001548.gif,Clatsop,Avenue G / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Avenue I / South Promenade,?option=com_jumi&view=application&fileid=13&a=47&Itemid=109,/images/learn/access/P001547.gif,Clatsop,Avenue I / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Avenue K / South Promenade,?option=com_jumi&view=application&fileid=13&a=48&Itemid=109,/images/learn/access/.gif,Clatsop,Avenue K / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Avenue L / South Promenade,?option=com_jumi&view=application&fileid=13&a=49&Itemid=109,/images/learn/access/P001546.gif,Clatsop,Avenue L / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Avenue N / South Promenade,?option=com_jumi&view=application&fileid=13&a=50&Itemid=109,/images/learn/access/P001545.gif,Clatsop,Avenue N / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lewis & Clark Way / South Promenade,?option=com_jumi&view=application&fileid=13&a=51&Itemid=109,/images/learn/access/P001544.gif,Clatsop,Lewis & Clark Way / South Promenade,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Avenue S / South Promenade,?option=com_jumi&view=application&fileid=13&a=52&Itemid=109,/images/learn/access/P001543.gif,Clatsop,Avenue S / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Avenue T / South Promenade,?option=com_jumi&view=application&fileid=13&a=53&Itemid=109,/images/learn/access/P001542.gif,Clatsop,Avenue T / South Promenade,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Avenue U / South Promenade,?option=com_jumi&view=application&fileid=13&a=54&Itemid=109,/images/learn/access/P001541.gif,Clatsop,Avenue U / South Promenade,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean Vista Way,?option=com_jumi&view=application&fileid=13&a=55&Itemid=109,/images/learn/access/P001551.gif,Clatsop,Ocean Vista Way,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tillamook Head Cove Road,?option=com_jumi&view=application&fileid=13&a=56&Itemid=109,/images/learn/access/P001552.gif,Clatsop,Tillamook Head Cove Road,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Seltzer Park,?option=com_jumi&view=application&fileid=13&a=57&Itemid=109,/images/learn/access/P001555.gif,Clatsop,Seltzer Park,Pedestrian Access,beach,unpaved,unknown,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sunset Boulevard,?option=com_jumi&view=application&fileid=13&a=58&Itemid=109,/images/learn/access/P001554.gif,Clatsop,Sunset Boulevard,Pedestrian Access,beach,unpaved,unknown,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tillamook Avenue,?option=com_jumi&view=application&fileid=13&a=59&Itemid=109,/images/learn/access/P001553.gif,Clatsop,Tillamook Avenue,Visual Access Only,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Tillamook Head / Trail,?option=com_jumi&view=application&fileid=13&a=60&Itemid=109,/images/learn/access/.gif,Clatsop,Tillamook Head / Trail,Visual Access Only,beach,none,City,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ecola State Park / Tillamook Head Trail,?option=com_jumi&view=application&fileid=13&a=61&Itemid=109,/images/learn/access/P001685.gif,Clatsop,Ecola State Park / Tillamook Head Trail,Visual Access Only,beach,none,State Parks,paved,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ecola State Park / Indian Beach,?option=com_jumi&view=application&fileid=13&a=62&Itemid=109,/images/learn/access/P001684.gif,Clatsop,Ecola State Park / Indian Beach,Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ecola State Park / Ecola Point,?option=com_jumi&view=application&fileid=13&a=63&Itemid=109,/images/learn/access/P001682.gif,Clatsop,Ecola State Park / Ecola Point,Visual Access Only,beach,none,State Parks,paved,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes
Ecola State Park / Crescent Beach,?option=com_jumi&view=application&fileid=13&a=64&Itemid=109,/images/learn/access/P001683.gif,Clatsop,Ecola State Park / Crescent Beach,Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
7th Street & Oak,?option=com_jumi&view=application&fileid=13&a=65&Itemid=109,/images/learn/access/P001688.gif,Clatsop,7th Street & Oak,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
6th Street ,?option=com_jumi&view=application&fileid=13&a=66&Itemid=109,/images/learn/access/P001689.gif,Clatsop,6th Street ,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
5th Street,?option=com_jumi&view=application&fileid=13&a=67&Itemid=109,/images/learn/access/P001687.gif,Clatsop,5th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Les Shirley Park,?option=com_jumi&view=application&fileid=13&a=68&Itemid=109,/images/learn/access/.gif,Clatsop,Les Shirley Park,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no
Larch Street,?option=com_jumi&view=application&fileid=13&a=69&Itemid=109,/images/learn/access/P001686.gif,Clatsop,Larch Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3rd Street - Whale Park,?option=com_jumi&view=application&fileid=13&a=70&Itemid=109,/images/learn/access/P001488.gif,Clatsop,3rd Street - Whale Park,Pedestrian Access,beach,unpaved,City,street,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
2nd Street,?option=com_jumi&view=application&fileid=13&a=71&Itemid=109,/images/learn/access/P001487.gif,Clatsop,2nd Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
1st Street ,?option=com_jumi&view=application&fileid=13&a=72&Itemid=109,/images/learn/access/P001486.gif,Clatsop,1st Street ,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Washington ,?option=com_jumi&view=application&fileid=13&a=73&Itemid=109,/images/learn/access/P991484.gif,Clatsop,Washington ,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Adams,?option=com_jumi&view=application&fileid=13&a=74&Itemid=109,/images/learn/access/P001482.gif,Clatsop,Adams,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Jefferson,?option=com_jumi&view=application&fileid=13&a=75&Itemid=109,/images/learn/access/P001481.gif,Clatsop,Jefferson,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Madison,?option=com_jumi&view=application&fileid=13&a=76&Itemid=109,/images/learn/access/P001480.gif,Clatsop,Madison,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Monroe,?option=com_jumi&view=application&fileid=13&a=77&Itemid=109,/images/learn/access/P001479.gif,Clatsop,Monroe,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Jackson,?option=com_jumi&view=application&fileid=13&a=78&Itemid=109,/images/learn/access/P001478.gif,Clatsop,Jackson,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Van Buren,?option=com_jumi&view=application&fileid=13&a=79&Itemid=109,/images/learn/access/P001477.gif,Clatsop,Van Buren,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Harrison,?option=com_jumi&view=application&fileid=13&a=80&Itemid=109,/images/learn/access/P001476.gif,Clatsop,Harrison,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Ecola Ramp,?option=com_jumi&view=application&fileid=13&a=81&Itemid=109,/images/learn/access/P001475.gif,Clatsop,Ecola Ramp,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
Pacific Street,?option=com_jumi&view=application&fileid=13&a=82&Itemid=109,/images/learn/access/p001489.gif,Clatsop,Pacific Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Near Viewpoint Terrace,?option=com_jumi&view=application&fileid=13&a=83&Itemid=109,/images/learn/access/P001492.gif,Clatsop,Near Viewpoint Terrace,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Center Street,?option=com_jumi&view=application&fileid=13&a=84&Itemid=109,/images/learn/access/P001496.gif,Clatsop,Center Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Chena,?option=com_jumi&view=application&fileid=13&a=85&Itemid=109,/images/learn/access/P001495.gif,Clatsop,Chena,Pedestrian Access,beach,none,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nazina,?option=com_jumi&view=application&fileid=13&a=86&Itemid=109,/images/learn/access/P001494.gif,Clatsop,Nazina,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Gogona,?option=com_jumi&view=application&fileid=13&a=87&Itemid=109,/images/learn/access/P001493.gif,Clatsop,Gogona,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Gulcana,?option=com_jumi&view=application&fileid=13&a=88&Itemid=109,/images/learn/access/P001506.gif,Clatsop,Gulcana,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tanana,?option=com_jumi&view=application&fileid=13&a=89&Itemid=109,/images/learn/access/P001505.gif,Clatsop,Tanana,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nabesna,?option=com_jumi&view=application&fileid=13&a=90&Itemid=109,/images/learn/access/P001504.gif,Clatsop,Nabesna,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Matanuska,?option=com_jumi&view=application&fileid=13&a=91&Itemid=109,/images/learn/access/P001503.gif,Clatsop,Matanuska,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nelchena,?option=com_jumi&view=application&fileid=13&a=92&Itemid=109,/images/learn/access/P001502.gif,Clatsop,Nelchena,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Chisana,?option=com_jumi&view=application&fileid=13&a=93&Itemid=109,/images/learn/access/P001501.gif,Clatsop,Chisana,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Susitna Street,?option=com_jumi&view=application&fileid=13&a=94&Itemid=109,/images/learn/access/P001500.gif,Clatsop,Susitna Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Delta,?option=com_jumi&view=application&fileid=13&a=95&Itemid=109,/images/learn/access/P001499.gif,Clatsop,Delta,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Tolovana Wayside,?option=com_jumi&view=application&fileid=13&a=96&Itemid=109,/images/learn/access/P001497.gif,Clatsop,Tolovana Wayside,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
Warren Way,?option=com_jumi&view=application&fileid=13&a=97&Itemid=109,/images/learn/access/P001507.gif,Clatsop,Warren Way,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Siuslaw,?option=com_jumi&view=application&fileid=13&a=98&Itemid=109,/images/learn/access/P001508.gif,Clatsop,Siuslaw,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Umpqua,?option=com_jumi&view=application&fileid=13&a=99&Itemid=109,/images/learn/access/P001509.gif,Clatsop,Umpqua,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Coos Street,?option=com_jumi&view=application&fileid=13&a=100&Itemid=109,/images/learn/access/P001511.gif,Clatsop,Coos Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Orford Street,?option=com_jumi&view=application&fileid=13&a=101&Itemid=109,/images/learn/access/P001512.gif,Clatsop,Orford Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Midway,?option=com_jumi&view=application&fileid=13&a=102&Itemid=109,/images/learn/access/P001513.gif,Clatsop,Midway,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Braillier Street,?option=com_jumi&view=application&fileid=13&a=103&Itemid=109,/images/learn/access/P0014.gif,Clatsop,Braillier Street,Pedestrian Access,beach,paved,City,street,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kenai,?option=com_jumi&view=application&fileid=13&a=104&Itemid=109,/images/learn/access/P001515.gif,Clatsop,Kenai,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Noatak,?option=com_jumi&view=application&fileid=13&a=105&Itemid=109,/images/learn/access/P001516.gif,Clatsop,Noatak,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Sitka Street,?option=com_jumi&view=application&fileid=13&a=106&Itemid=109,/images/learn/access/P001518.gif,Clatsop,Sitka Street,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
West Way,?option=com_jumi&view=application&fileid=13&a=107&Itemid=109,/images/learn/access/P001519.gif,Clatsop,West Way,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Logan Lane / Beach Ave.,?option=com_jumi&view=application&fileid=13&a=108&Itemid=109,/images/learn/access/P001532.gif,Clatsop,Logan Lane / Beach Ave.,Pedestrian Access,beach,unpaved,City,street,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Silver Point Viewpoint,?option=com_jumi&view=application&fileid=13&a=109&Itemid=109,/images/learn/access/P001927.gif,Clatsop,Silver Point Viewpoint,Visual Access Only,beach,paved,Dept. of Transportation,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Arcadia Beach State Park,?option=com_jumi&view=application&fileid=13&a=110&Itemid=109,/images/learn/access/P001926.gif,Clatsop,Arcadia Beach State Park,Pedestrian Access,beach,unpaved,State Parks,unpaved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Pacific / Grand Ave.,?option=com_jumi&view=application&fileid=13&a=111&Itemid=109,/images/learn/access/P001931.gif,Clatsop,Pacific / Grand Ave.,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Highway 101,?option=com_jumi&view=application&fileid=13&a=112&Itemid=109,/images/learn/access/P001932.gif,Clatsop,Highway 101,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hug Point State Park,?option=com_jumi&view=application&fileid=13&a=113&Itemid=109,/images/learn/access/P001925.gif,Clatsop,Hug Point State Park,Pedestrian Access,beach,paved,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
